,1,2,3,4,5,6
0,12,14,7,14,10,14
1,15,14,16,16,12,15
2,14,14,14,16,18,11
3,10,9,13,17,11,8
4,12,17,12,18,15,16
5,12,13,16,10,16,15
6,15,12,16,9,16,18
7,15,13,17,7,15,17
8,17,15,13,12,15,12
9,14,15,13,16,10,11
10,15,15,13,13,13,13
11,11,12,11,14,14,16
12,13,13,14,16,16,10
13,17,13,13,12,12,14
14,14,17,14,12,12,10
15,13,12,16,14,17,11
16,17,16,12,12,13,15
17,14,16,17,14,12,9
18,15,11,9,15,12,11
19,14,13,13,16,15,16
20,18,14,16,17,13,13
21,14,12,17,13,13,12
22,15,16,14,14,7,16
23,15,9,13,13,17,12
24,16,11,16,14,15,16
25,12,15,12,18,12,12
26,17,16,16,12,12,18
27,12,16,11,13,14,12
28,11,8,13,10,16,15
29,12,13,14,17,9,13
30,15,14,13,15,14,15
31,5,10,18,12,17,14
32,13,9,17,12,12,16
33,14,11,6,13,14,12
34,14,13,14,13,16,10
35,12,8,12,10,16,15
36,16,12,13,10,15,12
37,13,16,15,9,14,11
38,16,13,16,12,15,13
39,12,14,16,11,12,13
40,13,13,18,11,13,16
41,15,8,8,10,10,14
42,15,15,7,15,16,17
43,15,12,12,8,14,16
44,11,10,18,14,15,17
45,13,16,15,16,18,11
46,18,14,12,13,18,16
47,14,12,14,7,14,16
48,15,13,12,17,16,13
49,15,12,10,16,13,12
50,16,12,16,13,13,12
51,16,14,14,11,9,15
52,7,12,17,13,5,13
53,15,15,13,12,13,17
54,11,15,12,14,17,13
55,15,15,7,17,13,11
56,13,12,15,13,12,16
57,12,17,18,13,13,7
58,16,16,17,11,15,15
59,15,18,14,13,9,15
60,7,16,13,15,14,13
61,13,10,14,17,15,13
62,15,15,14,16,18,15
63,12,16,14,17,16,17
64,14,15,15,16,11,17
65,13,10,15,11,9,12
66,14,15,7,15,17,13
67,17,18,8,12,17,16
68,13,13,17,15,16,17
69,12,15,14,16,14,11
70,13,17,12,13,14,14
71,10,9,16,9,15,15
72,16,16,13,12,12,15
73,11,11,12,13,11,18
74,14,13,16,18,10,17
75,9,15,16,17,15,12
76,14,14,9,18,12,10
77,14,13,16,11,16,12
78,12,16,13,15,13,18
79,13,11,8,14,14,13
80,12,17,13,11,11,14
81,15,10,17,14,12,10
82,14,15,15,12,16,15
83,14,11,10,16,11,13
84,9,13,12,14,10,13
85,9,14,12,14,12,15
86,11,14,14,10,10,9
87,9,17,16,15,16,14
88,8,14,13,14,16,17
89,12,15,16,12,18,18
90,14,12,10,14,10,12
91,12,15,16,11,16,14
92,15,16,10,14,13,13
93,17,15,16,13,16,10
94,16,10,15,13,10,13
95,16,14,9,14,8,14
96,12,16,10,15,12,12
97,11,11,13,18,13,11
98,11,12,12,16,14,14
99,11,11,12,9,10,14
100,11,17,9,13,18,10
101,17,14,14,9,17,15
102,14,16,15,10,14,13
