,1,2,3,4,5,6
0,8,14,14,10,9,17
1,13,14,9,14,14,15
2,17,15,16,7,15,14
3,9,12,15,8,11,15
4,6,12,14,11,11,12
5,11,14,15,16,13,13
6,7,14,11,12,7,9
7,10,15,12,14,15,11
8,12,12,12,13,11,10
9,9,11,6,12,15,15
10,6,7,15,15,15,9
11,14,6,12,9,15,16
12,9,8,14,7,17,17
13,17,11,9,14,10,14
14,12,13,12,10,10,14
15,16,14,7,11,12,12
16,13,15,10,11,14,17
17,8,18,15,8,11,12
18,11,6,15,11,11,13
19,16,15,16,14,16,7
20,11,10,13,14,15,11
21,13,8,13,11,14,14
22,16,13,10,9,14,15
23,11,15,10,17,8,13
24,6,15,14,14,14,9
25,13,13,17,12,18,11
26,12,18,14,17,11,15
27,6,10,17,13,14,12
28,13,10,13,10,12,17
29,16,10,14,16,13,16
30,13,12,14,17,14,12
31,10,12,16,17,8,12
32,13,16,7,12,9,8
33,14,10,12,11,10,15
34,15,10,9,10,14,13
35,7,8,12,7,11,12
36,14,11,13,14,12,14
37,15,18,14,15,12,12
38,13,10,16,13,13,12
39,10,10,9,9,14,12
40,15,15,14,7,13,14
41,12,12,12,5,10,10
42,13,12,13,13,13,16
43,11,15,11,12,8,13
44,16,15,14,13,11,14
45,13,14,8,14,13,11
46,11,7,12,14,10,15
47,13,10,13,13,12,12
48,14,14,14,11,12,13
49,14,10,11,12,9,16
50,14,10,16,14,11,9
51,9,14,17,11,15,16
52,6,16,14,16,15,11
53,14,12,14,12,12,14
54,12,14,10,7,13,14
55,7,7,11,9,9,15
56,14,12,7,13,11,14
57,12,12,9,10,13,17
58,15,15,14,18,15,10
59,13,12,14,10,17,13
60,18,13,12,8,15,12
61,12,7,14,15,14,15
62,11,14,10,12,16,14
63,12,14,9,17,13,15
64,15,15,9,15,14,7
65,12,8,12,12,16,10
66,17,12,12,11,16,11
67,11,8,15,17,11,14
68,16,16,17,14,10,12
69,17,12,6,11,13,18
70,7,15,15,18,14,10
71,14,12,14,14,6,11
72,11,15,8,10,13,14
73,12,10,11,10,11,10
74,12,12,9,14,15,16
75,7,11,15,13,17,17
76,13,11,10,11,11,12
77,13,12,10,13,16,9
78,11,13,13,17,9,12
79,8,13,16,14,15,15
80,10,18,17,12,14,11
81,8,10,13,16,15,14
82,9,15,11,12,14,10
83,11,10,16,12,11,7
84,12,9,12,11,8,11
85,11,15,11,10,15,14
86,11,16,15,10,11,10
87,11,11,18,12,16,11
88,15,7,7,13,14,16
89,10,10,11,11,9,11
90,12,14,11,10,14,9
91,12,11,17,14,13,12
92,10,11,16,15,12,13
93,10,13,14,13,10,14
94,9,11,9,14,11,14
95,11,11,13,15,13,16
96,13,16,9,8,17,11
97,10,14,17,15,13,12
98,13,14,9,14,9,16
99,12,15,11,10,8,12
100,14,15,7,13,11,14
101,8,10,12,13,8,11
102,14,15,13,11,15,12
103,12,8,15,12,9,16
104,17,9,15,10,17,13
105,9,15,10,13,7,16
106,18,12,15,16,5,13
107,12,15,12,16,14,10
108,8,12,6,15,14,13
109,8,15,13,12,13,12
110,7,11,14,10,12,7
111,13,11,10,12,13,12
112,16,4,14,14,15,12
113,7,8,8,12,6,13
114,10,10,10,7,12,14
115,10,9,12,13,11,5
116,15,4,6,12,12,16
117,8,16,10,9,12,13
118,16,11,10,9,15,15
119,9,11,16,11,11,6
120,11,11,10,14,12,11
121,13,16,7,7,10,7
122,9,11,12,15,16,15
123,14,15,13,14,11,12
124,8,12,14,13,16,10
125,12,8,9,7,14,12
126,13,10,12,18,17,10
127,17,10,10,17,7,14
128,5,10,11,12,17,13
129,12,14,13,10,16,12
130,12,12,11,11,13,15
131,13,10,6,18,12,10
132,9,10,15,12,10,10
133,14,11,5,9,16,9
134,10,9,15,16,15,9
135,16,14,10,8,17,10
136,12,12,10,12,12,11
137,13,14,11,11,18,9
138,15,15,11,16,15,13
139,12,17,11,12,12,17
140,18,8,9,7,12,8
141,15,16,12,16,13,9
142,5,9,12,15,13,12
143,15,10,10,9,11,10
144,14,11,8,13,8,14
145,13,6,15,15,13,8
146,15,14,11,10,9,12
147,17,13,16,13,8,11
148,18,9,15,11,13,6
149,11,15,11,13,16,12
150,8,12,15,11,15,15
151,7,14,14,14,16,12
152,15,15,17,13,16,8
153,11,11,17,10,16,13
154,11,8,12,9,12,16
155,10,14,14,7,11,13
156,6,10,11,8,13,9
157,5,14,12,17,7,11
158,8,9,15,9,11,12
159,5,14,14,14,13,15
160,12,10,16,14,11,12
161,17,8,13,9,11,14
162,15,15,9,12,15,11
163,12,15,8,13,10,16
164,10,15,15,18,14,12
165,13,16,10,12,14,12
166,14,10,13,12,12,9
167,10,14,9,15,11,9
168,13,13,11,9,15,11
169,13,7,12,15,10,11
170,15,14,14,16,15,13
171,11,13,15,11,9,13
172,9,16,12,11,13,7
173,17,9,14,12,17,8
174,16,13,12,13,14,8
175,12,11,14,14,13,13
176,14,13,5,9,15,13
177,15,7,8,12,13,14
178,11,18,8,12,12,13
179,6,12,8,14,8,15
180,12,6,13,15,12,17
181,12,10,15,13,5,9
182,12,14,16,7,14,8
183,11,8,11,11,9,11
184,17,11,12,18,14,12
185,12,14,14,10,14,17
186,14,15,13,16,10,15
187,13,12,16,12,14,12
188,13,14,15,4,15,12
189,6,14,8,16,15,14
190,12,6,14,13,10,15
191,16,12,8,17,15,11
192,12,8,17,14,17,14
193,8,10,15,5,15,10
194,9,12,11,3,13,13
195,10,14,7,11,12,14
196,12,8,13,11,10,10
197,8,16,9,17,12,16
198,9,8,12,14,12,14
199,15,8,13,12,12,15
200,12,12,13,13,11,17
201,15,16,16,14,12,15
202,9,14,14,10,17,16
203,5,18,13,12,13,16
204,16,15,12,14,17,9
205,6,14,14,15,13,16
206,10,13,14,16,18,16
207,7,13,13,12,10,12
208,13,16,13,11,6,13
209,15,15,11,11,14,8
210,12,18,10,9,13,8
211,10,12,16,15,16,12
212,13,11,10,15,15,12
213,13,13,9,13,10,15
214,16,4,11,16,14,16
215,10,17,9,16,16,17
216,12,7,13,12,11,13
217,15,10,8,16,7,14
218,11,8,14,15,11,11
219,12,14,6,14,13,13
220,9,17,16,14,16,13
221,10,13,16,13,9,16
222,7,14,10,13,15,17
223,13,11,13,11,11,8
224,13,13,9,14,15,15
225,16,13,14,12,14,14
226,12,14,9,7,4,5
227,9,14,12,10,8,13
228,14,15,13,12,15,12
229,14,10,16,13,7,10
230,14,18,10,9,13,10
231,8,14,9,10,9,12
232,14,14,10,13,15,12
233,11,12,12,7,11,7
234,11,5,10,10,13,17
235,8,7,14,12,8,12
236,6,11,11,6,12,15
237,10,12,13,11,12,16
238,13,13,6,9,13,11
239,13,13,9,14,11,12
240,7,6,15,18,14,11
241,14,7,8,6,14,12
242,15,14,8,6,14,8
243,10,14,11,11,14,13
